run,t_g,n_collapses,n_snapshots,n_contaminated,h1_max_persistence__ratio__all,h1_total_persistence__ratio__all,h1_max_persistence_normalised__ratio__all,h1_total_persistence_normalised__ratio__all,h0_total_persistence__ratio__all,lid__ratio__all,h1_max_persistence__ratio__clean,h1_total_persistence__ratio__clean,h1_max_persistence_normalised__ratio__clean,h1_total_persistence_normalised__ratio__clean,h0_total_persistence__ratio__clean,lid__ratio__clean
transformer_add113_f0.3_wd0.1_recipe-rC-gelu_s0,44000.0,0,120,0,0.44614001263146075,1.4447237988708719,1.9066924396497211,6.588201648378618,0.23438298054357987,0.6941474654408354,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-gelu_s1,43000.0,0,120,0,0.801068206994779,21.088182430851372,3.0008909237813493,83.91918634877459,0.22441293835418993,1.6109118692434874,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-gelu_s2,53000.0,2,120,0,0.9715855985354882,2.7256588163992825,2.1606111644513244,5.697899724278357,0.5202250491077394,0.7234889743549243,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-lr3e-3_s0,18000.0,1,120,0,0.6080279531194951,0.848412748139021,1.348982272182523,1.9824937776392721,0.4611476190646169,0.9951058790993285,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-lr3e-3_s1,16000.0,1,120,0,0.697117968602868,0.9961671732743975,1.7560507400826615,2.6103212391507675,0.3596118332993076,0.7661044774105423,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-lr3e-3_s2,19500.0,0,120,0,0.8287403397894665,0.8171592964248648,1.7322796057736372,1.7565767309350544,0.43444973848157487,0.738995179426011,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-narrow_s0,86000.0,0,120,0,0.3644747544294064,1.3155455334326565,0.8131104215268097,2.773446583225552,0.42408563342551026,1.495518937971964,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC-narrow_s1,93000.0,1,120,1,0.6252275987701484,1.09805318309789,1.3682771057430665,2.634631855668285,0.4661252550755824,0.8454269152428189,0.6252275987701484,1.09805318309789,1.3682771057430665,2.634631855668285,0.4661252550755824,0.8454269152428189
transformer_add113_f0.3_wd0.1_recipe-rC-narrow_s2,110000.0,0,120,0,0.5581671313440515,1.0124179260374377,1.1259812292446023,2.3206878320815294,0.4779412382033422,1.1862655962369928,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC_s0,106500.0,0,120,0,0.5888573000664638,1.0580803531026368,1.1139626704454013,1.9426157240697193,0.5744994587381101,1.327658502044315,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC_s1,113000.0,1,120,0,0.42107236936872705,1.0601055284429497,1.0999087868485053,2.3847875758535957,0.38350384057291603,1.3614736177847833,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rC_s2,105000.0,0,120,0,0.45744955572497925,0.6105591187878109,0.912236779516392,1.273223434882069,0.47479730224704175,1.5069598404210558,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-1layer-lr1e-3_s0,37500.0,0,120,0,0.15947549978270198,0.5503761694542529,1.2923122250878976,5.020502918214312,0.10895665057845037,1.2345683994078387,,,,,,
transformer_add113_f0.3_wd0.1_recipe-rT-1layer-lr1e-3_s1,31000.0,0,120,0,0.11160988312709966,0.40909576407615583,1.529281048734369,5.772848095398147,0.0696299194354507,1.0259529979613025,,,,,,
