run,step,operator,n,test_acc
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,12121,add,6577,0.9987836480140686
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,12121,sub,6596,0.9983323216438293
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,12727,add,6577,0.999847948551178
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,12727,sub,6596,0.9996967911720276
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,13333,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,13333,sub,6596,0.9998483657836914
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,13939,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,13939,sub,6596,0.9998483657836914
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,14545,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,14545,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,15152,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,15152,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,15758,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,15758,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,16364,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,16364,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,16970,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,16970,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,17576,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,17576,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,18182,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,18182,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,18788,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,18788,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,19394,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,19394,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,20000,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,20000,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,20606,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,20606,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,21212,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,21212,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,21818,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,21818,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,22424,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,22424,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,23030,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,23030,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,23636,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,23636,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,24242,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,24242,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,24848,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,24848,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,25455,add,6577,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,25455,sub,6596,1.0
mlp_addsub97_f0.3_wd1.0_sq-addsub_s1,26061,add,6577,1.0
